timestamp,day,hour,minute,temperature,humidity,nh3,co2,activity,ear_tag_temp,feeding_amount,anomaly_label
Day01-00:00,1,0,0,19.2,72.3,4.4,131.0,23.1,38.6,0,正常
Day01-00:01,1,0,1,20.0,69.8,8.1,209.0,9.3,38.8,0,正常
Day01-00:02,1,0,2,19.4,71.5,3.9,156.0,12.3,38.7,0,正常
Day01-00:03,1,0,3,19.1,71.5,6.8,318.0,12.7,38.6,0,正常
Day01-00:04,1,0,4,19.7,71.4,5.7,189.0,19.8,38.0,0,正常
Day01-00:05,1,0,5,19.3,71.3,5.8,183.0,15.1,38.7,0,正常
Day01-00:06,1,0,6,19.5,71.2,6.8,208.0,10.2,38.4,0,正常
Day01-00:07,1,0,7,19.6,72.1,6.5,139.0,18.6,38.8,0,正常
Day01-00:08,1,0,8,19.5,72.4,5.1,294.0,10.5,38.5,0,正常
Day01-00:09,1,0,9,19.5,71.4,4.8,229.0,18.9,38.8,0,正常
Day01-00:10,1,0,10,18.7,74.1,4.8,185.0,20.1,38.5,0,正常
Day01-00:11,1,0,11,19.9,72.8,3.8,261.0,13.5,38.6,0,正常
Day01-00:12,1,0,12,19.1,71.8,5.1,175.0,17.1,38.6,0,正常
Day01-00:13,1,0,13,19.7,71.6,5.2,181.0,12.9,38.7,0,正常
Day01-00:14,1,0,14,19.6,71.6,7.1,262.0,13.1,38.6,0,正常
Day01-00:15,1,0,15,19.5,71.2,6.3,237.0,21.6,38.2,0,正常
Day01-00:16,1,0,16,19.0,71.5,5.4,225.0,13.8,38.0,0,正常
Day01-00:17,1,0,17,19.7,72.8,4.4,253.0,11.7,38.1,0,正常
Day01-00:18,1,0,18,18.9,72.3,5.6,137.0,24.6,38.3,0,正常
Day01-00:19,1,0,19,19.3,71.2,4.9,214.0,22.2,38.3,0,正常
Day01-00:20,1,0,20,19.5,72.0,5.3,131.0,19.4,38.6,0,正常
Day01-00:21,1,0,21,19.3,73.6,3.2,261.0,9.2,38.2,0,正常
Day01-00:22,1,0,22,19.3,71.0,5.1,227.0,19.1,38.3,0,正常
Day01-00:23,1,0,23,19.4,72.8,4.8,100.0,8.6,38.6,0,正常
Day01-00:24,1,0,24,19.6,74.7,5.3,190.0,15.4,38.5,0,正常
Day01-00:25,1,0,25,18.9,72.0,5.3,181.0,16.4,38.6,0,正常
Day01-00:26,1,0,26,19.1,70.7,4.4,225.0,24.6,38.4,0,正常
Day01-00:27,1,0,27,19.8,71.6,6.5,220.0,21.2,38.5,0,正常
Day01-00:28,1,0,28,19.4,71.2,6.9,211.0,10.8,37.9,0,正常
Day01-00:29,1,0,29,19.1,70.9,5.5,193.0,13.4,38.8,0,正常
Day01-00:30,1,0,30,19.6,74.2,4.8,225.0,10.9,38.6,0,正常
Day01-00:31,1,0,31,19.3,71.2,5.7,193.0,14.6,38.8,0,正常
Day01-00:32,1,0,32,19.6,70.8,8.7,178.0,2.5,38.8,0,正常
Day01-00:33,1,0,33,19.3,72.2,8.7,221.0,12.8,38.9,0,正常
Day01-00:34,1,0,34,19.8,69.7,4.2,259.0,21.6,38.7,0,正常
Day01-00:35,1,0,35,19.6,70.3,6.8,174.0,7.8,38.4,0,正常
Day01-00:36,1,0,36,19.7,72.2,8.5,262.0,11.7,37.9,0,正常
Day01-00:37,1,0,37,19.3,73.0,4.7,178.0,17.1,38.6,0,正常
Day01-00:38,1,0,38,19.7,71.8,6.2,242.0,7.5,38.8,0,正常
Day01-00:39,1,0,39,19.4,70.8,8.7,191.0,13.3,38.6,0,正常
Day01-00:40,1,0,40,19.1,73.1,9.9,147.0,19.6,38.2,0,正常
Day01-00:41,1,0,41,19.7,71.1,5.4,290.0,13.6,38.7,0,正常
Day01-00:42,1,0,42,19.5,71.8,5.9,261.0,8.6,38.4,0,正常
Day01-00:43,1,0,43,18.3,70.8,3.5,249.0,12.8,38.7,0,正常
Day01-00:44,1,0,44,19.6,71.9,4.8,246.0,15.9,38.5,0,正常
Day01-00:45,1,0,45,19.8,70.8,1.8,253.0,14.4,38.4,0,正常
Day01-00:46,1,0,46,20.1,70.3,6.0,208.0,23.7,38.3,0,正常
Day01-00:47,1,0,47,19.5,69.5,2.9,235.0,16.7,38.1,0,正常
Day01-00:48,1,0,48,19.2,71.0,4.4,168.0,16.7,38.6,0,正常
Day01-00:49,1,0,49,19.4,73.1,5.1,224.0,21.6,38.1,0,正常
Day01-00:50,1,0,50,19.5,74.0,2.6,172.0,26.2,38.8,0,正常
Day01-00:51,1,0,51,19.7,71.9,6.0,221.0,18.3,38.5,0,正常
Day01-00:52,1,0,52,19.6,71.0,6.8,246.0,20.6,38.7,0,正常
Day01-00:53,1,0,53,19.1,70.1,4.3,243.0,8.3,38.0,0,正常
Day01-00:54,1,0,54,19.3,71.3,3.1,87.0,9.2,39.1,0,正常
Day01-00:55,1,0,55,18.9,74.1,2.0,167.0,7.9,38.4,0,正常
Day01-00:56,1,0,56,18.7,71.7,6.9,262.0,19.2,38.6,0,正常
Day01-00:57,1,0,57,19.6,70.7,5.1,230.0,3.5,38.5,0,正常
Day01-00:58,1,0,58,19.2,72.0,6.0,233.0,12.0,38.4,0,正常
Day01-00:59,1,0,59,19.5,72.1,4.2,203.0,18.2,37.9,0,正常
Day01-01:00,1,1,0,20.1,70.7,3.3,261.0,13.8,38.9,0,正常
Day01-01:01,1,1,1,19.9,68.4,5.4,239.0,23.8,38.2,0,正常
Day01-01:02,1,1,2,19.8,72.0,4.7,260.0,13.4,38.5,0,正常
Day01-01:03,1,1,3,19.6,69.2,6.4,222.0,14.5,38.6,0,正常
Day01-01:04,1,1,4,20.0,71.6,5.7,140.0,15.8,38.4,0,正常
Day01-01:05,1,1,5,19.8,72.5,6.4,222.0,15.5,38.8,0,正常
Day01-01:06,1,1,6,20.1,70.1,6.5,143.0,7.7,38.4,0,正常
Day01-01:07,1,1,7,20.6,71.8,5.4,205.0,14.8,38.3,0,正常
Day01-01:08,1,1,8,19.5,70.2,5.1,179.0,12.7,38.7,0,正常
Day01-01:09,1,1,9,20.0,71.5,3.8,178.0,13.8,39.0,0,正常
Day01-01:10,1,1,10,19.8,70.7,6.1,181.0,31.0,38.5,0,正常
Day01-01:11,1,1,11,20.0,71.2,6.0,218.0,12.3,38.5,0,正常
Day01-01:12,1,1,12,20.2,69.6,4.0,268.0,11.4,38.0,0,正常
Day01-01:13,1,1,13,19.5,71.7,4.6,250.0,17.3,38.4,0,正常
Day01-01:14,1,1,14,20.2,68.5,4.6,291.0,10.6,38.6,0,正常
Day01-01:15,1,1,15,19.8,70.9,4.4,178.0,9.2,39.1,0,正常
Day01-01:16,1,1,16,20.0,71.1,5.4,229.0,13.4,38.3,0,正常
Day01-01:17,1,1,17,20.3,71.3,7.8,142.0,18.4,38.4,0,正常
Day01-01:18,1,1,18,19.8,71.0,3.8,242.0,6.5,38.4,0,正常
